action bronson,rapper,TRUE
afc wimbledon,champions,TRUE
afc wimbledon,club,TRUE
afc wimbledon,star,FALSE
afghanistan,city,FALSE
afghanistan,country,TRUE
afghanistan,democracy,TRUE
afghanistan,government,TRUE
al qaeda,firm,FALSE
alex brummer,author,TRUE
alex brummer,british,TRUE
alex brummer,broadway actress,FALSE
alex brummer,journalist,TRUE
alex brummer,vice-president,TRUE
alice walker,firm,FALSE
alice walker,phone,FALSE
alice walker,woman,TRUE
amazon,director,FALSE
amazon,phone,FALSE
amazon,product,FALSE
america,catholic,FALSE
america,country,TRUE
america,nation,TRUE
america,product,FALSE
amy poehler,government,FALSE
amy poehler,organisation,FALSE
amy winehouse,british,TRUE
amy winehouse,organisation,FALSE
amy winehouse,series,FALSE
andrew lloyd webber,artist,TRUE
andrew lloyd webber,composer,TRUE
android,operating system,TRUE
android,performer,FALSE
android,product,TRUE
android,singer,FALSE
andy burton,broadcaster,TRUE
andy burton,company,FALSE
andy burton,pitchside reporter,TRUE
andy burton,place,FALSE
andy burton,presenter,TRUE
andy burton,reporter,TRUE
andy burton,singer,FALSE
andy gray,football presenter,TRUE
andy gray,footballer,TRUE
andy gray,international,FALSE
andy gray,place,FALSE
andy gray,presenter,TRUE
andy gray,striker,FALSE
andy murray,british,TRUE
andy murray,champion,TRUE
andy murray,olympic,TRUE
andy murray,place,FALSE
andy murray,referee,FALSE
andy murray,wimbledon singles champion,TRUE
anfield,club,FALSE
anfield,country,FALSE
anfield,football stadium,TRUE
anfield,referee,FALSE
anfield,stadium,TRUE
angel olsen,artist,TRUE
angel olsen,country,FALSE
angel olsen,manager,FALSE
angela lansbury,actress,TRUE
angela lansbury,broadway actress,TRUE
angela lansbury,city,FALSE
angela lansbury,series,FALSE
anne hathaway,celebrity,TRUE
anne hathaway,person,TRUE
anne hathaway,series,FALSE
anne tyler,place,FALSE
apple,america,FALSE
apple,company,TRUE
apple,corporation,TRUE
apple,firm,TRUE
apple,smartphone producer,TRUE
apple,technology company,TRUE
apple watch,device,TRUE
apple watch,digital,TRUE
apple watch,phone,FALSE
apple watch,product,TRUE
apple watch,service,FALSE
